130000000,National Capital Region,NCR,Luzon,PH
140000000,Cordillera Administrative Region,CAR,Luzon,PH
010000000,Ilocos Region,Region I,Luzon,PH
020000000,Cagayan Valley,Region II,Luzon,PH
030000000,Central Luzon,Region III,Luzon,PH
040000000,CALABARZON,Region IV-A,Luzon,PH
170000000,MIMAROPA,Region IV-B,Luzon,PH
050000000,Bicol Region,Region V,Luzon,PH
060000000,Western Visayas,Region VI,Visayas,PH
070000000,Central Visayas,Region VII,Visayas,PH
080000000,Eastern Visayas,Region VIII,Visayas,PH
090000000,Zamboanga Peninsula,Region IX,Mindanao,PH
100000000,Northern Mindanao,Region X,Mindanao,PH
110000000,Davao Region,Region XI,Mindanao,PH
120000000,SOCCSKSARGEN,Region XII,Mindanao,PH
160000000,Caraga,Region XIII,Mindanao,PH
150000000,Autonomous Region in Muslim Mindanao,ARMM,Mindanao,PH
180000000,Negros Island Region,NIR,Visayas,PH